file_name,word,time
./word_fmris/7_subject_word_weighted_20.pt,Harry,20.0
./word_fmris/7_subject_word_weighted_20.5.pt,had,20.5
./word_fmris/7_subject_word_weighted_21.pt,never,21.0
./word_fmris/7_subject_word_weighted_21.5.pt,believed,21.5
./word_fmris/7_subject_word_weighted_22.pt,he,22.0
./word_fmris/7_subject_word_weighted_22.5.pt,would,22.5
./word_fmris/7_subject_word_weighted_23.pt,meet,23.0
./word_fmris/7_subject_word_weighted_23.5.pt,a,23.5
./word_fmris/7_subject_word_weighted_24.pt,boy,24.0
./word_fmris/7_subject_word_weighted_24.5.pt,he,24.5
./word_fmris/7_subject_word_weighted_25.pt,hated,25.0
./word_fmris/7_subject_word_weighted_25.5.pt,more,25.5
./word_fmris/7_subject_word_weighted_26.pt,than,26.0
./word_fmris/7_subject_word_weighted_26.5.pt,"Dudley,",26.5
./word_fmris/7_subject_word_weighted_27.pt,but,27.0
./word_fmris/7_subject_word_weighted_27.5.pt,that,27.5
./word_fmris/7_subject_word_weighted_28.pt,was,28.0
./word_fmris/7_subject_word_weighted_28.5.pt,before,28.5
./word_fmris/7_subject_word_weighted_29.pt,he,29.0
./word_fmris/7_subject_word_weighted_29.5.pt,met,29.5
./word_fmris/7_subject_word_weighted_30.pt,Draco,30.0
./word_fmris/7_subject_word_weighted_30.5.pt,Malfoy.,30.5
./word_fmris/7_subject_word_weighted_31.pt,"Still,",31.0
./word_fmris/7_subject_word_weighted_31.5.pt,first-year,31.5
./word_fmris/7_subject_word_weighted_32.pt,Gryffindors,32.0
./word_fmris/7_subject_word_weighted_32.5.pt,only,32.5
./word_fmris/7_subject_word_weighted_33.pt,had,33.0
./word_fmris/7_subject_word_weighted_33.5.pt,Potions,33.5
./word_fmris/7_subject_word_weighted_34.pt,with,34.0
./word_fmris/7_subject_word_weighted_34.5.pt,the,34.5
./word_fmris/7_subject_word_weighted_35.pt,"Slytherins,",35.0
./word_fmris/7_subject_word_weighted_35.5.pt,so,35.5
./word_fmris/7_subject_word_weighted_36.pt,they,36.0
./word_fmris/7_subject_word_weighted_36.5.pt,didn't,36.5
./word_fmris/7_subject_word_weighted_37.pt,have,37.0
./word_fmris/7_subject_word_weighted_37.5.pt,to,37.5
./word_fmris/7_subject_word_weighted_38.pt,put,38.0
./word_fmris/7_subject_word_weighted_38.5.pt,up,38.5
./word_fmris/7_subject_word_weighted_39.pt,with,39.0
./word_fmris/7_subject_word_weighted_39.5.pt,Malfoy,39.5
./word_fmris/7_subject_word_weighted_40.pt,much.,40.0
./word_fmris/7_subject_word_weighted_40.5.pt,Or,40.5
./word_fmris/7_subject_word_weighted_41.pt,at,41.0
./word_fmris/7_subject_word_weighted_41.5.pt,"least,",41.5
./word_fmris/7_subject_word_weighted_42.pt,they,42.0
./word_fmris/7_subject_word_weighted_42.5.pt,didn't,42.5
./word_fmris/7_subject_word_weighted_43.pt,until,43.0
./word_fmris/7_subject_word_weighted_43.5.pt,they,43.5
./word_fmris/7_subject_word_weighted_44.pt,spotted,44.0
./word_fmris/7_subject_word_weighted_44.5.pt,a,44.5
./word_fmris/7_subject_word_weighted_45.pt,notice,45.0
./word_fmris/7_subject_word_weighted_45.5.pt,pinned,45.5
./word_fmris/7_subject_word_weighted_46.pt,up,46.0
./word_fmris/7_subject_word_weighted_46.5.pt,in,46.5
./word_fmris/7_subject_word_weighted_47.pt,the,47.0
./word_fmris/7_subject_word_weighted_47.5.pt,Gryffindor,47.5
./word_fmris/7_subject_word_weighted_48.pt,common,48.0
./word_fmris/7_subject_word_weighted_48.5.pt,room,48.5
./word_fmris/7_subject_word_weighted_49.pt,that,49.0
./word_fmris/7_subject_word_weighted_49.5.pt,made,49.5
./word_fmris/7_subject_word_weighted_50.pt,them,50.0
./word_fmris/7_subject_word_weighted_50.5.pt,all,50.5
./word_fmris/7_subject_word_weighted_51.pt,groan.,51.0
./word_fmris/7_subject_word_weighted_51.5.pt,Flying,51.5
./word_fmris/7_subject_word_weighted_52.pt,lessons,52.0
./word_fmris/7_subject_word_weighted_52.5.pt,would,52.5
./word_fmris/7_subject_word_weighted_53.pt,be,53.0
./word_fmris/7_subject_word_weighted_53.5.pt,starting,53.5
./word_fmris/7_subject_word_weighted_54.pt,on,54.0
./word_fmris/7_subject_word_weighted_54.5.pt,Thursday,54.5
./word_fmris/7_subject_word_weighted_55.pt,--,55.0
./word_fmris/7_subject_word_weighted_55.5.pt,and,55.5
./word_fmris/7_subject_word_weighted_56.pt,Gryffindor,56.0
./word_fmris/7_subject_word_weighted_56.5.pt,and,56.5
./word_fmris/7_subject_word_weighted_57.pt,Slytherin,57.0
./word_fmris/7_subject_word_weighted_57.5.pt,would,57.5
./word_fmris/7_subject_word_weighted_58.pt,be,58.0
./word_fmris/7_subject_word_weighted_58.5.pt,learning,58.5
./word_fmris/7_subject_word_weighted_59.pt,together.,59.0
./word_fmris/7_subject_word_weighted_59.5.pt,+,59.5
./word_fmris/7_subject_word_weighted_60.pt,"""Typical,""",60.0
./word_fmris/7_subject_word_weighted_60.5.pt,said,60.5
./word_fmris/7_subject_word_weighted_61.pt,Harry,61.0
./word_fmris/7_subject_word_weighted_61.5.pt,darkly.,61.5
./word_fmris/7_subject_word_weighted_62.pt,"""Just",62.0
./word_fmris/7_subject_word_weighted_62.5.pt,what,62.5
./word_fmris/7_subject_word_weighted_63.pt,I,63.0
./word_fmris/7_subject_word_weighted_63.5.pt,always,63.5
./word_fmris/7_subject_word_weighted_64.pt,wanted.,64.0
./word_fmris/7_subject_word_weighted_64.5.pt,To,64.5
./word_fmris/7_subject_word_weighted_65.pt,make,65.0
./word_fmris/7_subject_word_weighted_65.5.pt,a,65.5
./word_fmris/7_subject_word_weighted_66.pt,fool,66.0
./word_fmris/7_subject_word_weighted_66.5.pt,of,66.5
./word_fmris/7_subject_word_weighted_67.pt,myself,67.0
./word_fmris/7_subject_word_weighted_67.5.pt,on,67.5
./word_fmris/7_subject_word_weighted_68.pt,a,68.0
./word_fmris/7_subject_word_weighted_68.5.pt,broomstick,68.5
./word_fmris/7_subject_word_weighted_69.pt,in,69.0
./word_fmris/7_subject_word_weighted_69.5.pt,front,69.5
./word_fmris/7_subject_word_weighted_70.pt,of,70.0
./word_fmris/7_subject_word_weighted_70.5.pt,"Malfoy.""",70.5
./word_fmris/7_subject_word_weighted_71.pt,+,71.0
./word_fmris/7_subject_word_weighted_71.5.pt,He,71.5
./word_fmris/7_subject_word_weighted_72.pt,had,72.0
./word_fmris/7_subject_word_weighted_72.5.pt,been,72.5
./word_fmris/7_subject_word_weighted_73.pt,looking,73.0
