subject,file_name,word_labels
0,./word_fmris/0_subject_word_weighted_20.pt.gz,"('Harry', 20)"
1,./word_fmris/1_subject_word_weighted_20.pt.gz,"('Harry', 20)"
2,./word_fmris/2_subject_word_weighted_20.pt.gz,"('Harry', 20)"
3,./word_fmris/3_subject_word_weighted_20.pt.gz,"('Harry', 20)"
4,./word_fmris/4_subject_word_weighted_20.pt.gz,"('Harry', 20)"
5,./word_fmris/5_subject_word_weighted_20.pt.gz,"('Harry', 20)"
6,./word_fmris/6_subject_word_weighted_20.pt.gz,"('Harry', 20)"
7,./word_fmris/7_subject_word_weighted_20.pt.gz,"('Harry', 20)"
0,./word_fmris/0_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
1,./word_fmris/1_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
2,./word_fmris/2_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
3,./word_fmris/3_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
4,./word_fmris/4_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
5,./word_fmris/5_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
6,./word_fmris/6_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
7,./word_fmris/7_subject_word_weighted_20.5.pt.gz,"('had', 20.5)"
0,./word_fmris/0_subject_word_weighted_21.pt.gz,"('never', 21)"
1,./word_fmris/1_subject_word_weighted_21.pt.gz,"('never', 21)"
2,./word_fmris/2_subject_word_weighted_21.pt.gz,"('never', 21)"
3,./word_fmris/3_subject_word_weighted_21.pt.gz,"('never', 21)"
4,./word_fmris/4_subject_word_weighted_21.pt.gz,"('never', 21)"
5,./word_fmris/5_subject_word_weighted_21.pt.gz,"('never', 21)"
6,./word_fmris/6_subject_word_weighted_21.pt.gz,"('never', 21)"
7,./word_fmris/7_subject_word_weighted_21.pt.gz,"('never', 21)"
0,./word_fmris/0_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
1,./word_fmris/1_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
2,./word_fmris/2_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
3,./word_fmris/3_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
4,./word_fmris/4_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
5,./word_fmris/5_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
6,./word_fmris/6_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
7,./word_fmris/7_subject_word_weighted_21.5.pt.gz,"('believed', 21.5)"
0,./word_fmris/0_subject_word_weighted_22.pt.gz,"('he', 22)"
1,./word_fmris/1_subject_word_weighted_22.pt.gz,"('he', 22)"
2,./word_fmris/2_subject_word_weighted_22.pt.gz,"('he', 22)"
3,./word_fmris/3_subject_word_weighted_22.pt.gz,"('he', 22)"
4,./word_fmris/4_subject_word_weighted_22.pt.gz,"('he', 22)"
5,./word_fmris/5_subject_word_weighted_22.pt.gz,"('he', 22)"
6,./word_fmris/6_subject_word_weighted_22.pt.gz,"('he', 22)"
7,./word_fmris/7_subject_word_weighted_22.pt.gz,"('he', 22)"
